51,Pantai Teleng Ria,"Desa Sidoharjo
Kec, Pacitan",Pantai,4.5,10000,"
Tempat Ibadah",0
52,Pantai Teleng Ria,"Desa Sidoharjo
Kec, Pacitan",Pantai,4.5,10000,"
Hotel",0
53,Pantai Buyutan,"Desa Widoro,
Kec, Donorojo",Pantai,25,10000,Rumah makan,0
54,Pantai Buyutan,"Desa Widoro,
Kec, Donorojo",Pantai,25,10000,"
Tempat Parkir",0
55,Pantai Buyutan,"Desa Widoro,
Kec, Donorojo",Pantai,25,10000,"
Tempat Ibadah",0
56,Pantai Buyutan,"Desa Widoro,
Kec, Donorojo",Pantai,25,5000,Rumah makan,0
57,Pantai Buyutan,"Desa Widoro,
Kec, Donorojo",Pantai,25,5000,"
Tempat Parkir",0
58,Pantai Buyutan,"Desa Widoro,
Kec, Donorojo",Pantai,25,5000,"
Tempat Ibadah",0
59,Pantai Pangasan,"Desa Kalipelus
Kec, Kebonagung",Pantai,32,5000,"
Tempat Parkir",0
60,Pantai Kali Uluh,"Desa Klesem
Kec, Kebonagung",Pantai,17,5000,Rumah makan,0
61,Pantai Kali Uluh,"Desa Klesem
Kec, Kebonagung",Pantai,17,5000,"
Tempat Parkir",0
62,Pantai Srau,"Desa Candi
Kec, Pringkuku",Pantai,22,5000,Rumah makan,0
63,Pantai Srau,"Desa Candi
Kec, Pringkuku",Pantai,22,5000,"
Tempat Parkir",0
64,Pantai Srau,"Desa Candi
Kec, Pringkuku",Pantai,22,5000,"
Tempat Ibadah",0
65,Pantai Srau,"Desa Candi
Kec, Pringkuku",Pantai,22,5000,"
Hotel",0
66,Pantai Srau,"Desa Candi
Kec, Pringkuku",Pantai,22,10000,Rumah makan,0
67,Pantai Srau,"Desa Candi
Kec, Pringkuku",Pantai,22,10000,"
Tempat Parkir",0
68,Pantai Srau,"Desa Candi
Kec, Pringkuku",Pantai,22,10000,"
Tempat Ibadah",0
69,Pantai Srau,"Desa Candi
Kec, Pringkuku",Pantai,22,10000,"
Hotel",0
70,Pantai Langitan,"Desa Widoro
Kec, Donorojo",Pantai,34,5000,Rumah makan,0
71,Pantai Langitan,"Desa Widoro
Kec, Donorojo",Pantai,34,5000,"
Tempat Parkir",0
72,Pantai Karang Bolong,"Desa Sendang
Kec, Pacitan",Pantai,31,10000,Rumah makan,0
73,Pantai Karang Bolong,"Desa Sendang
Kec, Pacitan",Pantai,31,10000,"
Tempat Parkir",0
74,Pantai Oancer Door,"Desa Ploso
Kec, Pacitan",Pantai,4,10000,Rumah makan,0
75,Pantai Oancer Door,"Desa Ploso
Kec, Pacitan",Pantai,4,10000,"
Tempat Parkir",0
76,Pantai Oancer Door,"Desa Ploso
Kec, Pacitan",Pantai,4,5000,Rumah makan,0
77,Pantai Oancer Door,"Desa Ploso
Kec, Pacitan",Pantai,4,5000,"
Tempat Parkir",0
